OBJECTID,Bus Stop ID,Stop Number,LTAR,Location,Accessible,Bus PadID,FDMID,Feature Code,Source Date,Source Accuracy,Add Date,Modified Date,Bus Stop Status,Source Date,Plowed by HRM,Winter Maintenance Zone,Winter Maintenance Route,Winter Maintenance Level of Service,Winter Treatment Material,Winter Maintenance Comments,GLOBALID,Winter Maintenance Add Date,Winter Maintenance Modified Date,Date Last Inspected,x,y
45,BS3260,2165,Y,Alabaster Way After Mica Cr (2165),A,CPD2912,700008476,TRBSAC,TRANSIT,DV,10/7/2019 12:00:00 AM,7/11/2023 2:30:44 PM,INS,8/23/2019 12:00:00 AM,Y,WSZ4,,PRI2,,,1c0c4fd7-b6b7-4ceb-8102-3cf05fd2f7db,10/10/2019 12:00:00 AM,6/1/2022 12:00:00 AM,1/1/2019 12:00:00 AM,-7079928.3607,5559898.3717
46,BS2153,6560,Y,Dentith Rd At Lanark St (6560),A,CPD2160,700005154,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 2:30:44 PM,INS,,Y,WSZ4,,PRI2,,,d7dbcb5e-e42f-4b21-a678-e28126c1f109,2/22/2017 12:00:00 AM,6/1/2022 12:00:00 AM,1/1/2015 12:00:00 AM,-7081951.6942,5560848.3711
47,BS1344,8855,Y,Finlay Dr After Shubie Dr (8855),A,CPD1515,700004378,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,Y,HRM2,R4,PRI2,,,d41c17d7-62fd-4aa0-95e0-4cea30f74542,2/22/2017 12:00:00 AM,9/4/2019 12:00:00 AM,,-7076164.9201,5575635.6861
48,BS2307,9037,Y,Sackville Dr After Beaver Bank Rd (9037),A,CPD2419,700008010,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,Y,WSZ2,,PRI2,,,deaf1818-a921-480a-8a03-eacaaa0f611e,2/22/2017 12:00:00 AM,,,-7090510.5505,5586255.5004
49,BS2788,2027,Y,Broad St Before Larry Uteck Blvd (2027),A,CPD2767,700011808,TRBSAC,TRANSIT,XY,2/12/2019 12:00:00 AM,2/20/2026 2:54:29 PM,INS,2/18/2019 12:00:00 AM,Y,WSZ3,,PRI2,,Use of Sidewalk - grass btwn curb and s/w,9f98e07e-176e-431b-8b63-15efa2de0674,10/10/2019 12:00:00 AM,,1/1/2019 12:00:00 AM,-7091955.5965,5575759.3584
50,BS3178,2051,Y,Old Sackville Rd At Civic 178 (2051),A,CPD2833,100000473,TRBSAC,TRANSIT,DV,10/7/2019 12:00:00 AM,7/11/2023 2:30:44 PM,INS,8/23/2019 12:00:00 AM,Y,WSZ2,,PRI2,,,98df0159-b794-493c-be89-4ec87879fbaa,10/10/2019 12:00:00 AM,10/28/2019 12:00:00 AM,1/1/2019 12:00:00 AM,-7088160.1734,5583051.6201
51,BS2050,6408,Y,Chebucto Rd Before Philip St (6408),A,CPD1988,300001658,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 2:30:44 PM,INS,,Y,SWZ6,RA,PRI2,,,69177358-59f6-4882-9d59-47befbc0518c,2/22/2017 12:00:00 AM,10/24/2019 12:00:00 AM,1/1/2014 12:00:00 AM,-7081868.1495,5565725.3709
52,BS1124,8334,Y,Spring Garden Rd Before South Park St (8334),A,CPD1362,300001776,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,Y,HRM1,R4,PRI2,,,3f77f76c-1c80-4c18-b39e-4fa5281b6043,2/22/2017 12:00:00 AM,,,-7077625.8167,5565404.7985
53,BS452,6153,Y,St Margarets Bay Rd After Beechville Park Dr (6153),A,CPD794,300002864,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,2/14/2025 4:22:29 PM,INS,,Y,WSZ4,,PRI2,,,19eb1561-f6f2-48cf-8c34-3e6e0586d751,2/22/2017 12:00:00 AM,6/1/2022 12:00:00 AM,,-7089927.7157,5564721.488
54,BS3179,2052,Y,Old Sackville Rd Before Lynn Ct (2052),A,CPD2835,100000473,TRBSAC,TRANSIT,DV,10/7/2019 12:00:00 AM,7/11/2023 2:30:44 PM,INS,8/23/2019 12:00:00 AM,Y,WSZ2,,PRI2,,,9e8c1154-6fd3-4468-924e-45b078817bcf,10/10/2019 12:00:00 AM,10/28/2019 12:00:00 AM,1/1/2019 12:00:00 AM,-7087839.2736,5582915.3608
55,BS179,6480,Y,Cole Harbour Rd Before Hugh Allen Dr (6480),A,CPD47,700004636,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 2:30:44 PM,INS,,Y,WSZ1,,PRI2,,SHELTER,7e8e1235-48b5-4a7f-8910-ca316a600412,2/22/2017 12:00:00 AM,6/1/2022 12:00:00 AM,1/1/2014 12:00:00 AM,-7067888.2028,5569979.8061
56,BS1837,8222,Y,Robie St After Charles St (8222),A,CPD1899,300000989,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,9/16/2024 6:04:26 PM,INS,,Y,SWZ6,RB,PRI2,,,584b67d6-f83d-41f7-ab02-b98b005acfc8,2/22/2017 12:00:00 AM,10/28/2019 12:00:00 AM,,-7079250.1115,5567168.7635
57,BS1076,8861,Y,Wright Ave After Venture Run (8861),A,CPD1447,700004112,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,Y,HRM2,R3,PRI2,,,8af76c67-cd88-44e4-9729-90cd048b8578,2/22/2017 12:00:00 AM,9/4/2019 12:00:00 AM,,-7078771.2986,5575514.0776
59,BS1841,8227,Y,Rockmanor Dr After Rocky Lake Dr (8227),N,CPD1903,100001203,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,Y,WSZ3,,PRI2,,STAND ALONE,1b9953fc-57e9-4d74-930e-8c29f70465ad,2/22/2017 12:00:00 AM,10/1/2019 12:00:00 AM,,-7085689.4702,5580351.9212
60,BS2513,7053,Y,Kennedy Dr After David St (7053),A,CPD456,200001131,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 2:30:44 PM,INS,,Y,WSZ1,,PRI2,,,8e7768bc-d06a-4119-89b3-ce21b74b9e90,2/22/2017 12:00:00 AM,6/1/2022 12:00:00 AM,1/1/2016 12:00:00 AM,-7071791.3075,5572732.7513
61,BS3451,2268,Y,Collins Grv At Civic 83 (2268),A,CPD3016,200001068,TRBSAC,TRANSIT,XY,10/21/2021 3:12:49 PM,7/7/2025 12:43:06 PM,INS,10/19/2021 12:00:00 AM,Y,WSZ1,,PRI2,,"Stops Surface is Concrete Pad, Sidewalk or Asphalt",f5632351-26c0-4dc3-a58a-ddcedfe6649d,11/22/2021 12:00:00 AM,6/1/2022 12:00:00 AM,,-7070390.5179,5570015.4848
62,BS3541,2320,Y,Susie Lake Cr At Civic 300 (2320),A,,,TRBSAC,TRANSIT,IN,11/21/2023 2:55:47 PM,12/4/2024 1:16:26 PM,INS,11/20/2023 12:00:00 AM,Y,WSZ4,,,SALT,,8bad2854-8b6d-431b-9b34-85d727a914f8,,,,-7089049.7126,5566181.0621
63,BS1223,7049,Y,Kencrest Ave After Novalea Dr (7049),A,CPD1307,300003030,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,Y,SWZ6,RB,PRI2,,,957b6401-ae53-47e0-b888-e8f372f15c1e,2/22/2017 12:00:00 AM,10/25/2019 12:00:00 AM,,-7081536.3552,5570255.4064
